year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1.0,331.0,436.2,2.5,2177.0,14.0,117.0,1746.0,300.0,0.0,16.7,15.0,3.0,1.097
2.0,331.0,409.9,3.4,1719.0,18.0,116.0,2226.0,327.0,0.0,19.4,18.0,3.0,2.112
3.0,331.0,701.4,3.6,1793.1,20.0,114.0,2204.0,324.0,0.0,22.2,18.0,5.0,2.148
4.0,331.0,461.6,3.1,1514.0,22.0,118.0,2358.0,347.0,0.0,29.4,19.0,5.0,2.209
5.0,331.0,641.6,2.9,1567.0,21.0,114.0,2523.0,371.0,0.0,37.4,21.0,8.0,2.298
6.0,331.0,479.8,3.8,1722.0,19.0,116.0,2700.0,397.0,0.0,53.2,24.0,8.0,2.452
7.0,331.0,570.6,2.6,2051.9,20.0,116.0,2889.0,425.0,0.0,68.5,26.0,8.0,2.612
8.0,331.0,643.6,0.9,2461.0,20.0,109.0,3091.0,454.0,0.0,74.3,26.0,9.0,2.762
9.0,331.0,688.9,3.4,1712.1,20.0,120.0,3308.0,486.0,0.0,78.9,28.0,11.0,2.89
10.0,331.0,703.2,4.9,1381.1,20.0,114.0,3539.0,520.0,1.7,81.4,31.0,11.0,2.94
